step,Loss/train,Loss/val,Metrics/l2_distance,Metrics/cosine_similarity,LR
0,0.007145521,0.001829059,0.854955196,0.982436061,9.99E-05
1,0.001234221,0.00076905,0.556742489,0.981539786,9.96E-05
2,0.000668279,0.000527987,0.457493484,0.980561197,9.91E-05
3,0.00047457,0.00045981,0.42239961,0.977641881,9.84E-05
4,0.000359589,0.000301565,0.348975182,0.978308618,9.76E-05
5,0.000275403,0.00026509,0.324456662,0.975918412,9.65E-05
6,0.000219977,0.000224853,0.297763914,0.972910225,9.52E-05
7,0.000178069,0.000170023,0.260240316,0.974501431,9.38E-05
8,0.000149667,0.00010459,0.206001043,0.98136431,9.22E-05
9,0.000133959,0.000118709,0.21836637,0.975405812,9.05E-05
10,0.000116719,9.53E-05,0.195697129,0.973322988,8.85E-05
11,9.70E-05,8.78E-05,0.187380821,0.971893132,8.64E-05
12,9.04E-05,9.53E-05,0.193771362,0.96396029,8.42E-05
13,7.91E-05,7.72E-05,0.174562693,0.967918932,8.19E-05
14,6.86E-05,5.91E-05,0.154520839,0.972460508,7.94E-05
15,6.22E-05,5.31E-05,0.146920636,0.970615447,7.68E-05
16,5.54E-05,6.16E-05,0.155753806,0.961898029,7.41E-05
17,5.15E-05,4.80E-05,0.138603911,0.968405128,7.13E-05
18,4.83E-05,3.66E-05,0.122934416,0.974251628,6.84E-05
19,4.41E-05,3.25E-05,0.116217889,0.972583413,6.55E-05
20,4.03E-05,3.30E-05,0.116234496,0.969384849,6.24E-05
21,3.84E-05,2.98E-05,0.110570483,0.969685435,5.94E-05
22,3.73E-05,3.42E-05,0.117404647,0.965189099,5.63E-05
23,3.38E-05,2.77E-05,0.106912099,0.97023809,5.31E-05
24,3.17E-05,2.34E-05,0.098810486,0.970356405,5.00E-05
25,3.05E-05,2.44E-05,0.100590169,0.968939722,4.69E-05
26,2.76E-05,2.32E-05,0.097897105,0.967919469,4.37E-05
27,2.72E-05,2.11E-05,0.093464896,0.969178259,4.06E-05
28,2.56E-05,2.28E-05,0.096793562,0.964839101,3.76E-05
29,2.50E-05,1.98E-05,0.090222627,0.969265163,3.45E-05
30,2.36E-05,1.97E-05,0.090113305,0.968959093,3.16E-05
31,2.19E-05,2.03E-05,0.09119232,0.967786312,2.87E-05
32,2.21E-05,1.91E-05,0.088688783,0.967527449,2.59E-05
33,2.08E-05,1.80E-05,0.086230017,0.966856897,2.32E-05
34,2.27E-05,1.78E-05,0.085721046,0.9646703,2.06E-05
35,1.96E-05,1.30E-05,0.074493811,0.974045098,1.81E-05
36,1.90E-05,1.41E-05,0.077083066,0.971391618,1.58E-05
37,1.84E-05,1.58E-05,0.081094883,0.96890986,1.36E-05
38,1.95E-05,1.61E-05,0.081554063,0.96594131,1.15E-05
39,1.88E-05,1.58E-05,0.080864914,0.966771185,9.55E-06
40,1.84E-05,1.49E-05,0.078815095,0.968283236,7.78E-06
41,1.71E-05,1.55E-05,0.080581225,0.967270195,6.18E-06
42,1.70E-05,1.59E-05,0.081123255,0.966040552,4.76E-06
43,1.81E-05,1.55E-05,0.080125481,0.966762066,3.51E-06
44,1.72E-05,1.45E-05,0.077951185,0.96899879,2.45E-06
45,1.74E-05,1.65E-05,0.082379617,0.964925408,1.57E-06
46,1.73E-05,1.58E-05,0.081023715,0.965575039,8.86E-07
47,1.74E-05,1.67E-05,0.082826637,0.963813066,3.94E-07
48,1.74E-05,1.51E-05,0.079125151,0.967081547,9.87E-08
49,1.71E-05,1.68E-05,0.083221957,0.962659299,0
