step,Loss/train,Loss/val,Metrics/l2_distance,Metrics/cosine_similarity,LR
0,0.007145520765334368,0.0018290590960532427,0.8549551963806152,0.9824360609054565,9.990133548853919e-05
1,0.0012342210393399,0.0007690496859140694,0.5567424893379211,0.981539785861969,9.960573515854776e-05
2,0.0006682787789031863,0.0005279874894768,0.45749348402023315,0.9805611968040466,9.91143606370315e-05
3,0.00047456956235691905,0.00045981028233654797,0.4223996102809906,0.9776418805122375,9.842915460467339e-05
4,0.0003595890011638403,0.00030156507273204625,0.34897518157958984,0.9783086180686951,9.75528237177059e-05
5,0.00027540282462723553,0.00026508953305892646,0.32445666193962097,0.9759184122085571,9.648882405599579e-05
6,0.00021997664589434862,0.0002248531236546114,0.2977639138698578,0.9729102253913879,9.524135384708643e-05
7,0.00017806941468734294,0.00017002271488308907,0.2602403163909912,0.9745014309883118,9.3815331638325e-05
8,0.00014966665185056627,0.00010458987526362762,0.20600104331970215,0.9813643097877502,9.221639629686251e-05
9,0.0001339591108262539,0.000118709409434814,0.2183663696050644,0.9754058122634888,9.045084880199283e-05
10,0.00011671920219669119,9.533627599012107e-05,0.1956971287727356,0.9733229875564575,8.852565952111036e-05
11,9.703065734356642e-05,8.782497752690688e-05,0.1873808205127716,0.9718931317329407,8.64484318299219e-05
12,9.041620069183409e-05,9.52808914007619e-05,0.1937713623046875,0.9639602899551392,8.422735845670104e-05
13,7.9076096881181e-05,7.716917752986774e-05,0.17456269264221191,0.9679189324378967,8.187119965441525e-05
14,6.863276939839125e-05,5.9091187722515315e-05,0.15452083945274353,0.9724605083465576,7.938926137285307e-05
15,6.220647628651932e-05,5.312032953952439e-05,0.14692063629627228,0.9706154465675354,7.679133705096319e-05
16,5.5431664804928005e-05,6.1636688769795e-05,0.15575380623340607,0.9618980288505554,7.408768578898162e-05
17,5.1537459512474015e-05,4.802601324627176e-05,0.13860391080379486,0.9684051275253296,7.128896686481312e-05
18,4.8251193220494315e-05,3.664392716018483e-05,0.12293441593647003,0.9742516279220581,6.840622518211603e-05
19,4.408165841596201e-05,3.2482399547006935e-05,0.11621788889169693,0.9725834131240845,6.545084761455655e-05
20,4.0314564103027806e-05,3.2979132811306044e-05,0.11623449623584747,0.9693848490715027,6.243449752219021e-05
21,3.840882345684804e-05,2.977233634737786e-05,0.11057048290967941,0.969685435295105,5.93690674577374e-05
22,3.732090044650249e-05,3.4227366995764896e-05,0.11740464717149734,0.9651890993118286,5.626666097668931e-05
23,3.382997238077223e-05,2.77370691037504e-05,0.10691209882497787,0.9702380895614624,5.3139527153689414e-05
24,3.16907862725202e-05,2.3432721718563698e-05,0.09881048649549484,0.9703564047813416,4.999999873689376e-05
25,3.046065648959484e-05,2.4363715056097135e-05,0.10059016942977905,0.9689397215843201,4.686047395807691e-05
26,2.7560547096072696e-05,2.3244241674547084e-05,0.09789710491895676,0.9679194688796997,4.3733340135077015e-05
27,2.722756289585959e-05,2.1146723156562075e-05,0.09346489608287811,0.9691782593727112,4.063093365402892e-05
28,2.55534760071896e-05,2.2785550754633732e-05,0.09679356217384338,0.9648391008377075,3.756550722755492e-05
29,2.5021670808200724e-05,1.9815242922049947e-05,0.09022262692451477,0.9692651629447937,3.4549149859230965e-05
30,2.355380820517894e-05,1.9699229596881196e-05,0.09011330455541611,0.9689590930938721,3.1593772291671485e-05
31,2.1925417968304828e-05,2.0289784515625797e-05,0.0911923199892044,0.9677863121032715,2.8711036065942608e-05
32,2.2136666302685626e-05,1.906731995404698e-05,0.08868878334760666,0.967527449131012,2.591231714177411e-05
33,2.082138780679088e-05,1.8005925085162744e-05,0.08623001724481583,0.9668568968772888,2.3208660422824323e-05
34,2.2739535779692233e-05,1.780599995981902e-05,0.08572104573249817,0.9646703004837036,2.061073791992385e-05
35,1.961734778888058e-05,1.301227166550234e-05,0.07449381053447723,0.9740450978279114,1.812879963836167e-05
36,1.9020351828658022e-05,1.4136615391180385e-05,0.07708306610584259,0.9713916182518005,1.5772644474054687e-05
37,1.8443270164425485e-05,1.5794095816090703e-05,0.0810948833823204,0.9689098596572876,1.355156837234972e-05
38,1.94627937162295e-05,1.60689032782102e-05,0.08155406266450882,0.965941309928894,1.147433795267716e-05
39,1.8831624402082525e-05,1.576469549036119e-05,0.08086491376161575,0.9667711853981018,9.549150490784086e-06
40,1.8407097741146572e-05,1.4850155821477529e-05,0.07881509512662888,0.9682832360267639,7.783603905409109e-06
41,1.7068758097593673e-05,1.554652953927871e-05,0.08058122545480728,0.9672701954841614,6.184665835462511e-06
42,1.704593887552619e-05,1.5893001545919105e-05,0.08112325519323349,0.9660405516624451,4.758647264679894e-06
43,1.812228401831817e-05,1.5510235243709758e-05,0.08012548089027405,0.9667620658874512,3.5111756915284786e-06
44,1.717012855806388e-05,1.4506617844745051e-05,0.07795118540525436,0.9689987897872925,2.447174210828962e-06
45,1.7358723198412918e-05,1.646813325351104e-05,0.08237961679697037,0.9649254083633423,1.570841959619429e-06
46,1.7253973055630922e-05,1.5833140423637815e-05,0.08102371543645859,0.9655750393867493,8.856374620336283e-07
47,1.7362706785206683e-05,1.6666883311700076e-05,0.0828266367316246,0.963813066482544,3.942649300370249e-07
48,1.7354032024741173e-05,1.5125679055927321e-05,0.07912515103816986,0.9670815467834473,9.866357686405536e-08
49,1.7099373508244753e-05,1.6752499504946172e-05,0.08322195708751678,0.9626592993736267,0.0
