step,Loss/train,Loss/val,Metrics/l2_distance,Metrics/cosine_similarity,LR
0,2.512619972,0.678448975,1.198643208,0.980365813,9.99E-05
1,0.424024224,0.181637228,0.801190078,0.982700706,9.96E-05
2,0.21853359,0.124507479,0.679119945,0.982721806,9.91E-05
3,0.155630499,0.100382358,0.634770453,0.982637107,9.84E-05
4,0.120520085,0.090129852,0.565405965,0.9825598,9.76E-05
5,0.091535158,0.072512209,0.511134207,0.982956529,9.65E-05
6,0.0758375,0.054824546,0.464304924,0.982809901,9.52E-05
7,0.062140763,0.047214214,0.423299342,0.983305931,9.38E-05
8,0.052182343,0.032570325,0.344911098,0.988547206,9.22E-05
9,0.050580531,0.039240565,0.379058301,0.984982014,9.05E-05
10,0.044648983,0.029027946,0.329876631,0.985702693,8.85E-05
11,0.036991589,0.02704555,0.313289106,0.985981882,8.64E-05
12,0.035160221,0.031570159,0.335117251,0.981847346,8.42E-05
13,0.030298073,0.026345633,0.306599021,0.983869016,8.19E-05
14,0.027237162,0.020087248,0.271720529,0.986014307,7.94E-05
15,0.025376227,0.021840319,0.268145889,0.985525131,7.68E-05
16,0.023199582,0.022957033,0.281099528,0.983008504,7.41E-05
17,0.021372736,0.018192079,0.254674017,0.985749006,7.13E-05
18,0.020263705,0.014442933,0.220097929,0.989224851,6.84E-05
19,0.018919051,0.012700448,0.214498043,0.988499522,6.55E-05
20,0.017787846,0.013920263,0.21948415,0.987429678,6.24E-05
21,0.017095676,0.01200584,0.205289528,0.98782295,5.94E-05
22,0.016166408,0.014196888,0.224268466,0.984918356,5.63E-05
23,0.015074995,0.012474039,0.210339859,0.986812294,5.31E-05
24,0.014140137,0.01003049,0.188821509,0.989095509,5.00E-05
25,0.013953587,0.010057617,0.189164788,0.988762915,4.69E-05
26,0.012620399,0.009464293,0.185751423,0.989207625,4.37E-05
27,0.012669298,0.008916244,0.179059923,0.989172578,4.06E-05
28,0.012111325,0.010113409,0.189694628,0.987208486,3.76E-05
29,0.011652299,0.009074914,0.180210993,0.988616109,3.45E-05
30,0.010963833,0.008749329,0.18400681,0.987887323,3.16E-05
31,0.010456523,0.009113725,0.180789873,0.988356769,2.87E-05
32,0.010786208,0.009195183,0.18336834,0.987269223,2.59E-05
33,0.010131697,0.008129562,0.173741266,0.988458931,2.32E-05
34,0.011201054,0.008290716,0.170995995,0.988144159,2.06E-05
35,0.009893382,0.006342323,0.150546253,0.99113816,1.81E-05
36,0.009376093,0.006637538,0.155713558,0.990056634,1.58E-05
37,0.009141932,0.007328895,0.163734436,0.989113152,1.36E-05
38,0.00970865,0.007791523,0.166773424,0.988321006,1.15E-05
39,0.009402309,0.007349365,0.163806677,0.988676429,9.55E-06
40,0.00919087,0.007206639,0.162869602,0.988694847,7.78E-06
41,0.008438069,0.007662728,0.166744635,0.988320708,6.18E-06
42,0.008407696,0.008037564,0.171209663,0.987431824,4.76E-06
43,0.008820317,0.007445885,0.166700736,0.98809129,3.51E-06
44,0.008475264,0.006980903,0.158220321,0.989498854,2.45E-06
45,0.008656917,0.007384815,0.165917054,0.988036752,1.57E-06
46,0.008314514,0.007805011,0.170586333,0.987429857,8.86E-07
47,0.008557182,0.008497377,0.176788121,0.986441731,3.94E-07
48,0.008366689,0.007810832,0.168684185,0.987717986,9.87E-08
49,0.008542419,0.008028719,0.173334569,0.98684293,0
