step,Loss/train,Loss/val,Metrics/l2_distance,Metrics/cosine_similarity,LR
0,0.004424558021128178,0.0005830134032294154,0.4935682713985443,0.9786125421524048,9.990133548853919e-05
1,0.0005194246768951416,0.00022049243852961808,0.30587443709373474,0.978209376335144,9.960573515854776e-05
2,0.0002617345890030265,0.0001422678615199402,0.24571986496448517,0.9759342074394226,9.91143606370315e-05
3,0.00016983947716653347,0.00010154036863241345,0.20722343027591705,0.968543291091919,9.842915460467339e-05
4,0.00012059917935403064,8.282515773316845e-05,0.18616983294487,0.961876630783081,9.75528237177059e-05
5,8.909919415600598e-05,6.667877460131422e-05,0.16710536181926727,0.9554067254066467,9.648882405599579e-05
6,6.635318277403712e-05,5.025972495786846e-05,0.14506468176841736,0.9514064788818359,9.524135384708643e-05
7,5.3816325817024335e-05,4.150590757490136e-05,0.13157616555690765,0.9528863430023193,9.3815331638325e-05
8,4.502456067712046e-05,3.263550388510339e-05,0.11712294071912766,0.9523978233337402,9.221639629686251e-05
9,3.6473349609877914e-05,2.6253535907017067e-05,0.10498657822608948,0.9546903967857361,9.045084880199283e-05
10,3.087229561060667e-05,2.328094888071064e-05,0.09850049018859863,0.9547831416130066,8.852565952111036e-05
11,2.5626994101912715e-05,1.8600312614580616e-05,0.08826825767755508,0.9565587043762207,8.64484318299219e-05
12,2.2049925973988138e-05,1.891370447992813e-05,0.0886361300945282,0.946263313293457,8.422735845670104e-05
13,1.8807026208378375e-05,1.4614802239520941e-05,0.07854337245225906,0.9528635740280151,8.187119965441525e-05
14,1.6425665307906456e-05,1.2178710676380433e-05,0.07146474719047546,0.9520320892333984,7.938926137285307e-05
15,1.4297397683549207e-05,8.679055099491961e-06,0.06104375794529915,0.9604303240776062,7.679133705096319e-05
16,1.2335225619608536e-05,1.0139192454516888e-05,0.0652199387550354,0.9496188759803772,7.408768578898162e-05
17,1.0839097740245052e-05,9.759862223290838e-06,0.06391163915395737,0.9455113410949707,7.128896686481312e-05
18,9.861468242888805e-06,7.694563464610837e-06,0.05684414878487587,0.9499792456626892,6.840622518211603e-05
19,8.573143531975802e-06,7.825570719433017e-06,0.05709375441074371,0.943185031414032,6.545084761455655e-05
20,8.147734661179129e-06,5.896564289287198e-06,0.049978192895650864,0.9528107047080994,6.243449752219021e-05
21,7.131844995456049e-06,5.334881279850379e-06,0.04744447022676468,0.9506925344467163,5.93690674577374e-05
22,6.4103760450962e-06,4.798976078745909e-06,0.04505683109164238,0.9525866508483887,5.626666097668931e-05
23,5.663571300829062e-06,4.785806140716886e-06,0.044862039387226105,0.9467055797576904,5.3139527153689414e-05
24,5.2132122618786525e-06,5.028164196119178e-06,0.04588833823800087,0.9395824670791626,4.999999873689376e-05
25,4.709762833954301e-06,3.897747774317395e-06,0.040486209094524384,0.9470885396003723,4.686047395807691e-05
26,4.2608958210621495e-06,3.7430913835123647e-06,0.03961888328194618,0.950596034526825,4.3733340135077015e-05
27,4.07737388741225e-06,3.6366272979648784e-06,0.03912278264760971,0.9443089365959167,4.063093365402892e-05
28,3.7165359572099987e-06,2.926784191004117e-06,0.035158511251211166,0.948041558265686,3.756550722755492e-05
29,3.425774366405676e-06,2.702773144847015e-06,0.03379954397678375,0.9531437754631042,3.4549149859230965e-05
30,3.0870887712808326e-06,2.704625558180851e-06,0.033804334700107574,0.9471785426139832,3.1593772291671485e-05
31,2.885224830606603e-06,3.3747542147466447e-06,0.037411585450172424,0.9308403730392456,2.8711036065942608e-05
32,2.7690859951690072e-06,2.491440227458952e-06,0.032423343509435654,0.9463937282562256,2.591231714177411e-05
33,2.6115401396964444e-06,1.9410128970775986e-06,0.028683792799711227,0.9548877477645874,2.3208660422824323e-05
34,2.4652158572280314e-06,2.2966964934312273e-06,0.03113633394241333,0.944244384765625,2.061073791992385e-05
35,2.296886577823898e-06,1.983711399589083e-06,0.02895212173461914,0.947417676448822,1.812879963836167e-05
36,2.1650480448442977e-06,2.0831121219089255e-06,0.029609400779008865,0.9444785118103027,1.5772644474054687e-05
37,2.0806578504561912e-06,1.7781621863832697e-06,0.02741578221321106,0.9487243294715881,1.355156837234972e-05
38,2.07631728699198e-06,1.5543348581559258e-06,0.025699827820062637,0.9518803954124451,1.147433795267716e-05
39,1.966407126019476e-06,1.7765465827324078e-06,0.02739042229950428,0.9454097747802734,9.549150490784086e-06
40,1.894087631626462e-06,1.537896196168731e-06,0.025575103238224983,0.9497730135917664,7.783603905409109e-06
41,1.8556952454673592e-06,1.5777895896462724e-06,0.0258411206305027,0.9462637901306152,6.184665835462511e-06
42,1.7867863562059938e-06,1.4760380508960225e-06,0.025033844634890556,0.9509372711181641,4.758647264679894e-06
43,1.7549975837027887e-06,1.469540052312368e-06,0.024984085932374,0.9486967325210571,3.5111756915284786e-06
44,1.6725871319067664e-06,1.7063520090232487e-06,0.026783205568790436,0.9430508613586426,2.447174210828962e-06
45,1.7174239701489569e-06,1.6891643781491439e-06,0.02666265331208706,0.9420020580291748,1.570841959619429e-06
46,1.6364183466066606e-06,1.6608282749075443e-06,0.026484668254852295,0.9429246783256531,8.856374620336283e-07
47,1.6319007727361168e-06,1.4629492852691328e-06,0.024865806102752686,0.9478906393051147,3.942649300370249e-07
48,1.616580220797914e-06,1.513632582827995e-06,0.02528928592801094,0.9475888609886169,9.866357686405536e-08
49,1.6560348967686878e-06,1.4312092844193103e-06,0.02459019422531128,0.9495633840560913,0.0
